Header	Region	Host	Subtype	Country	HA_Segment_Id	New_Data	Clade	Clade_Group	Isolate_Name	CVV	Outbreak	Outliers	date
EPI1261439|A/turkey/Italy/17VIR6108-3/2017|H5N8|2017-08-01	Europe	Domestic Birds	H5N8	Italy	EPI1261439	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6108-3/2017	NA	NA	N	2017-08-01
EPI1261447|A/turkey/Italy/17VIR6111-16/2017|H5N8|2017-07-31	Europe	Domestic Birds	H5N8	Italy	EPI1261447	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6111-16/2017	NA	NA	N	2017-07-31
EPI1261455|A/turkey/Italy/17VIR6355-1/2017|H5N8|2017-08-04	Europe	Domestic Birds	H5N8	Italy	EPI1261455	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6355-1/2017	NA	NA	N	2017-08-04
EPI1261463|A/turkey/Italy/17VIR6356-1/2017|H5N8|2017-08-04	Europe	Domestic Birds	H5N8	Italy	EPI1261463	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6356-1/2017	NA	NA	N	2017-08-04
EPI1261471|A/turkey/Italy/17VIR6357-2/2017|H5N8|2017-08-04	Europe	Domestic Birds	H5N8	Italy	EPI1261471	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6357-2/2017	NA	NA	N	2017-08-04
EPI1261479|A/turkey/Italy/17VIR6469-2/2017|H5N8|2017-08-08	Europe	Domestic Birds	H5N8	Italy	EPI1261479	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6469-2/2017	NA	NA	N	2017-08-08
EPI1261487|A/turkey/Italy/17VIR6882-1/2017|H5N8|2017-08-21	Europe	Domestic Birds	H5N8	Italy	EPI1261487	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6882-1/2017	NA	NA	N	2017-08-21
EPI1261495|A/pheasant/Italy/17VIR7065-21/2017|H5N8|2017-08-19	Europe	Domestic Birds	H5N8	Italy	EPI1261495	NA	2.3.4.4b	2.3.4.4b	A/pheasant/Italy/17VIR7065-21/2017	NA	NA	N	2017-08-19
EPI1261503|A/turkey/Italy/17VIR6930-4/2017|H5N8|2017-08-22	Europe	Domestic Birds	H5N8	Italy	EPI1261503	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6930-4/2017	NA	NA	N	2017-08-22
EPI1261511|A/turkey/Italy/17VIR6928-5/2017|H5N8|2017-08-22	Europe	Domestic Birds	H5N8	Italy	EPI1261511	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR6928-5/2017	NA	NA	N	2017-08-22
EPI1261519|A/chicken/Italy/17VIR7062-1/2017|H5N8|2017-08-25	Europe	Domestic Birds	H5N8	Italy	EPI1261519	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR7062-1/2017	NA	NA	N	2017-08-25
EPI1261527|A/turkey/Italy/17VIR7197-1/2017|H5N8|2017-08-28	Europe	Domestic Birds	H5N8	Italy	EPI1261527	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR7197-1/2017	NA	NA	N	2017-08-28
EPI1261535|A/turkey/Italy/17VIR7337-1/2017|H5N8|2017-09-02	Europe	Domestic Birds	H5N8	Italy	EPI1261535	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR7337-1/2017	NA	NA	N	2017-09-02
EPI1261543|A/goose/Italy/17VIR7626-5/2017|H5N8|2017-09-08	Europe	Domestic Birds	H5N8	Italy	EPI1261543	NA	2.3.4.4b	2.3.4.4b	A/goose/Italy/17VIR7626-5/2017	NA	NA	N	2017-09-08
EPI1261551|A/turkey/Italy/17VIR8199-1/2017|H5N8|2017-09-25	Europe	Domestic Birds	H5N8	Italy	EPI1261551	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR8199-1/2017	NA	NA	N	2017-09-25
EPI1261559|A/turkey/Italy/17VIR8275-3/2017|H5N8|2017-09-26	Europe	Domestic Birds	H5N8	Italy	EPI1261559	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR8275-3/2017	NA	NA	N	2017-09-26
EPI1261567|A/duck/Italy/17VIR8200-12/2017|H5N8|2017-09-25	Europe	Domestic Birds	H5N8	Italy	EPI1261567	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR8200-12/2017	NA	NA	N	2017-09-25
EPI1261575|A/duck/Italy/17VIR8349/2017|H5N8|2017-09-25	Europe	Domestic Birds	H5N8	Italy	EPI1261575	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR8349/2017	NA	NA	N	2017-09-25
EPI1261583|A/chicken/Italy/17VIR8678/2017|H5N8|2017-10-05	Europe	Domestic Birds	H5N8	Italy	EPI1261583	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR8678/2017	NA	NA	N	2017-10-05
EPI1261591|A/chicken/Italy/17VIR8783-5/2017|H5N8|2017-10-06	Europe	Domestic Birds	H5N8	Italy	EPI1261591	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR8783-5/2017	NA	NA	N	2017-10-06
EPI1261599|A/chicken/Italy/17VIR8821/2017|H5N8|2017-10-09	Europe	Domestic Birds	H5N8	Italy	EPI1261599	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR8821/2017	NA	NA	N	2017-10-09
EPI1261607|A/chicken/Italy/17VIR8744-9/2017|H5N8|2017-10-09	Europe	Domestic Birds	H5N8	Italy	EPI1261607	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR8744-9/2017	NA	NA	N	2017-10-09
EPI1261615|A/chicken/Italy/17VIR8885/2017|H5N8|2017-10-10	Europe	Domestic Birds	H5N8	Italy	EPI1261615	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR8885/2017	NA	NA	N	2017-10-10
EPI1261623|A/turkey/Italy/17VIR8886-3/2017|H5N8|2017-10-11	Europe	Domestic Birds	H5N8	Italy	EPI1261623	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR8886-3/2017	NA	NA	N	2017-10-11
EPI1261631|A/turkey/Italy/17VIR8819-3/2017|H5N8|2017-10-09	Europe	Domestic Birds	H5N8	Italy	EPI1261631	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR8819-3/2017	NA	NA	N	2017-10-09
EPI1261639|A/chicken/Italy/17VIR9048-2/2017|H5N8|2017-10-12	Europe	Domestic Birds	H5N8	Italy	EPI1261639	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9048-2/2017	NA	NA	N	2017-10-12
EPI1261647|A/turkey/Italy/17VIR9106-2/2017|H5N8|2017-10-13	Europe	Domestic Birds	H5N8	Italy	EPI1261647	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9106-2/2017	NA	NA	N	2017-10-13
EPI1261654|A/chicken/Italy/17VIR9107/2017|H5N8|2017-10-16	Europe	Domestic Birds	H5N8	Italy	EPI1261654	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9107/2017	NA	NA	N	2017-10-16
EPI1261662|A/turkey/Italy/17VIR9049-2/2017|H5N8|2017-10-12	Europe	Domestic Birds	H5N8	Italy	EPI1261662	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9049-2/2017	NA	NA	N	2017-10-12
EPI1261670|A/chicken/Italy/17VIR9113/2017|H5N8|2017-10-16	Europe	Domestic Birds	H5N8	Italy	EPI1261670	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9113/2017	NA	NA	N	2017-10-16
EPI1261678|A/duck/Italy/17VIR8898/2017|H5N8|2017-10-16	Europe	Domestic Birds	H5N8	Italy	EPI1261678	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR8898/2017	NA	NA	N	2017-10-16
EPI1261686|A/turkey/Italy/17VIR9245/2017|H5N8|2017-10-18	Europe	Domestic Birds	H5N8	Italy	EPI1261686	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9245/2017	NA	NA	N	2017-10-18
EPI1261694|A/turkey/Italy/17VIR9246/2017|H5N8|2017-10-18	Europe	Domestic Birds	H5N8	Italy	EPI1261694	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9246/2017	NA	NA	N	2017-10-18
EPI1261702|A/chicken/Italy/17VIR9456/2017|H5N8|2017-10-18	Europe	Domestic Birds	H5N8	Italy	EPI1261702	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9456/2017	NA	NA	N	2017-10-18
EPI1261709|A/duck/Italy/17VIR9533/2017|H5N8|2017-10-25	Europe	Domestic Birds	H5N8	Italy	EPI1261709	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR9533/2017	NA	NA	N	2017-10-25
EPI1261717|A/chicken/Italy/17VIR9679/2017|H5N8|2017-10-28	Europe	Domestic Birds	H5N8	Italy	EPI1261717	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9679/2017	NA	NA	N	2017-10-28
EPI1261725|A/chicken/Italy/17VIR9680/2017|H5N8|2017-10-28	Europe	Domestic Birds	H5N8	Italy	EPI1261725	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9680/2017	NA	NA	N	2017-10-28
EPI1261733|A/turkey/Italy/17VIR9699/2017|H5N8|2017-10-30	Europe	Domestic Birds	H5N8	Italy	EPI1261733	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9699/2017	NA	NA	N	2017-10-30
EPI1261741|A/turkey/Italy/17VIR9773/2017|H5N8|2017-10-31	Europe	Domestic Birds	H5N8	Italy	EPI1261741	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9773/2017	NA	NA	N	2017-10-31
EPI1261749|A/turkey/Italy/17VIR9775-1/2017|H5N8|2017-10-31	Europe	Domestic Birds	H5N8	Italy	EPI1261749	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9775-1/2017	NA	NA	N	2017-10-31
EPI1261757|A/turkey/Italy/17VIR9908/2017|H5N8|2017-11-01	Europe	Domestic Birds	H5N8	Italy	EPI1261757	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9908/2017	NA	NA	N	2017-11-01
EPI1261765|A/turkey/Italy/17VIR9905-1/2017|H5N8|2017-11-02	Europe	Domestic Birds	H5N8	Italy	EPI1261765	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9905-1/2017	NA	NA	N	2017-11-02
EPI1261773|A/duck/Italy/17VIR9906-1/2017|H5N8|2017-11-03	Europe	Domestic Birds	H5N8	Italy	EPI1261773	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR9906-1/2017	NA	NA	N	2017-11-03
EPI1261781|A/duck/Italy/17VIR9907-2/2017|H5N8|2017-11-03	Europe	Domestic Birds	H5N8	Italy	EPI1261781	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR9907-2/2017	NA	NA	N	2017-11-03
EPI1261789|A/turkey/Italy/17VIR9942-2/2017|H5N8|2017-11-04	Europe	Domestic Birds	H5N8	Italy	EPI1261789	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR9942-2/2017	NA	NA	N	2017-11-04
EPI1261797|A/chicken/Italy/17VIR9941-1/2017|H5N8|2017-11-03	Europe	Domestic Birds	H5N8	Italy	EPI1261797	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9941-1/2017	NA	NA	N	2017-11-03
EPI1261805|A/chicken/Italy/17VIR9846-4/2017|H5N8|2017-11-03	Europe	Domestic Birds	H5N8	Italy	EPI1261805	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9846-4/2017	NA	NA	N	2017-11-03
EPI1261813|A/chicken/Italy/17VIR10053/2017|H5N8|2017-11-07	Europe	Domestic Birds	H5N8	Italy	EPI1261813	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10053/2017	NA	NA	N	2017-11-07
EPI1261821|A/chicken/Italy/17VIR9868-1/2017|H5N8|2017-11-02	Europe	Domestic Birds	H5N8	Italy	EPI1261821	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR9868-1/2017	NA	NA	N	2017-11-02
EPI1261829|A/turkey/Italy/17VIR10133-8/2017|H5N8|2017-11-06	Europe	Domestic Birds	H5N8	Italy	EPI1261829	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR10133-8/2017	NA	NA	N	2017-11-06
EPI1261837|A/chicken/Italy/17VIR10083/2017|H5N8|2017-11-06	Europe	Domestic Birds	H5N8	Italy	EPI1261837	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10083/2017	NA	NA	N	2017-11-06
EPI1261845|A/chicken/Italy/17VIR10082/2017|H5N8|2017-11-09	Europe	Domestic Birds	H5N8	Italy	EPI1261845	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10082/2017	NA	NA	N	2017-11-09
EPI1261853|A/chicken/Italy/17VIR10130-2/2017|H5N8|2017-11-09	Europe	Domestic Birds	H5N8	Italy	EPI1261853	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10130-2/2017	NA	NA	N	2017-11-09
EPI1261861|A/chicken/Italy/17VIR10132-1/2017|H5N8|2017-11-10	Europe	Domestic Birds	H5N8	Italy	EPI1261861	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10132-1/2017	NA	NA	N	2017-11-10
EPI1261869|A/chicken/Italy/17VIR10131-1/2017|H5N8|2017-11-10	Europe	Domestic Birds	H5N8	Italy	EPI1261869	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10131-1/2017	NA	NA	N	2017-11-10
EPI1261877|A/chicken/Italy/17VIR10437-2/2017|H5N8|2017-11-21	Europe	Domestic Birds	H5N8	Italy	EPI1261877	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10437-2/2017	NA	NA	N	2017-11-21
EPI1261885|A/chicken/Italy/17VIR10408/2017|H5N8|2017-11-20	Europe	Domestic Birds	H5N8	Italy	EPI1261885	NA	2.3.4.4b	2.3.4.4b	A/chicken/Italy/17VIR10408/2017	NA	NA	N	2017-11-20
EPI1261893|A/duck/Italy/17VIR10767-13/2017|H5N8|2017-12-01	Europe	Domestic Birds	H5N8	Italy	EPI1261893	NA	2.3.4.4b	2.3.4.4b	A/duck/Italy/17VIR10767-13/2017	NA	NA	N	2017-12-01
EPI1261901|A/turkey/Italy/17VIR10983-22/2017|H5N8|2017-12-11	Europe	Domestic Birds	H5N8	Italy	EPI1261901	NA	2.3.4.4b	2.3.4.4b	A/turkey/Italy/17VIR10983-22/2017	NA	NA	N	2017-12-11
EPI1261909|A/swan/Italy/17VIR3594-3/2017|H5N8|2017-04-27	Europe	Wild Birds	H5N8	Italy	EPI1261909	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR3594-3/2017	NA	NA	N	2017-04-27
EPI1261916|A/swan/Italy/17VIR8513/2017|H5N8|2017-09-01	Europe	Wild Birds	H5N8	Italy	EPI1261916	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR8513/2017	NA	NA	N	2017-09-01
EPI1261924|A/swan/Italy/17VIR9017/2017|H5N8|2017-10-11	Europe	Wild Birds	H5N8	Italy	EPI1261924	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR9017/2017	NA	NA	N	2017-10-11
EPI1261932|A/swan/Italy/17VIR9038-1/2017|H5N8|2017-10-11	Europe	Wild Birds	H5N8	Italy	EPI1261932	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR9038-1/2017	NA	NA	N	2017-10-11
EPI1261940|A/swan/Italy/17VIR9038-2/2017|H5N8|2017-10-11	Europe	Wild Birds	H5N8	Italy	EPI1261940	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR9038-2/2017	NA	NA	N	2017-10-11
EPI1261948|A/swan/Italy/17VIR9836-1/2017|H5N8|2017-08-16	Europe	Wild Birds	H5N8	Italy	EPI1261948	NA	2.3.4.4b	2.3.4.4b	A/swan/Italy/17VIR9836-1/2017	NA	NA	N	2017-08-16
EPI1261956|A/quail/Italy/17VIR9455-2/2017|H5N8|2017-10-20	Europe	Domestic Birds	H5N8	Italy	EPI1261956	NA	2.3.4.4b	2.3.4.4b	A/quail/Italy/17VIR9455-2/2017	NA	NA	N	2017-10-20
EPI1261970|A/kestrel/Italy/17VIR9840/2017|H5N8|2017-10-23	Europe	Wild Birds	H5N8	Italy	EPI1261970	NA	2.3.4.4b	2.3.4.4b	A/kestrel/Italy/17VIR9840/2017	NA	NA	N	2017-10-23
EPI1261978|A/mallard/Italy/17VIR6103-1/2017|H5N8|2017-07-25	Europe	Wild Birds	H5N8	Italy	EPI1261978	NA	2.3.4.4b	2.3.4.4b	A/mallard/Italy/17VIR6103-1/2017	NA	NA	N	2017-07-25
EPI1261986|A/pigeon/Italy/17VIR9842/2017|H5N8|2017-10-23	Europe	Domestic Birds	H5N8	Italy	EPI1261986	NA	2.3.4.4b	2.3.4.4b	A/pigeon/Italy/17VIR9842/2017	NA	NA	N	2017-10-23
EPI1261994|A/wild_goose/Italy/17VIR9841/2017|H5N8|2017-10-23	Europe	Wild Birds	H5N8	Italy	EPI1261994	NA	2.3.4.4b	2.3.4.4b	A/wild_goose/Italy/17VIR9841/2017	NA	NA	N	2017-10-23
EPI126535|A/Cygnus_cygnus/Krasnodar/329/07|H5N1|2007-09-06	West Asia	Wild Birds	H5N1	Russia	EPI126535	NA	2.2	2.2	A/Cygnus_cygnus/Krasnodar/329/07	NA	NA	N	2007-09-06
EPI1265785|A/tufted_duck/Shimane/3211TY001/2017|H5N6|2017-11-07	Japan Korea	Wild Birds	H5N6	Japan	EPI1265785	NA	2.3.4.4b	2.3.4.4b	A/tufted_duck/Shimane/3211TY001/2017	NA	NA	N	2017-11-07
EPI1270311|A/White-tailed_sea_eagle/Germany/AR3093/2017|H5N8|2016-12-29	Europe	Wild Birds	H5N8	Germany	EPI1270311	NA	2.3.4.4b	2.3.4.4b	A/White-tailed_sea_eagle/Germany/AR3093/2017	NA	NA	N	2016-12-29
EPI1270536|A/White-tailed_sea_eagle/Germany/AR10297/2016|H5N8|2016-11-28	Europe	Wild Birds	H5N8	Germany	EPI1270536	NA	2.3.4.4b	2.3.4.4b	A/White-tailed_sea_eagle/Germany/AR10297/2016	NA	NA	N	2016-11-28
EPI1270724|A/chicken/Kursk/284/2018|H5N8|2018-06-11	West Asia	Domestic Birds	H5N8	Russia	EPI1270724	NA	2.3.4.4b	2.3.4.4b	A/chicken/Kursk/284/2018	NA	NA	N	2018-06-11
EPI1270732|A/chicken/Kursk/526/2018|H5N8|2018-06-15	West Asia	Domestic Birds	H5N8	Russia	EPI1270732	NA	2.3.4.4b	2.3.4.4b	A/chicken/Kursk/526/2018	NA	NA	N	2018-06-15
EPI1270842|A/chicken/Samara/446/2018|H5N8|2018-06-22	West Asia	Domestic Birds	H5N8	Russia	EPI1270842	NA	2.3.4.4b	2.3.4.4b	A/chicken/Samara/446/2018	NA	NA	N	2018-06-22
EPI1270850|A/chicken/Samara/447/2018|H5N8|2018-06-22	West Asia	Domestic Birds	H5N8	Russia	EPI1270850	NA	2.3.4.4b	2.3.4.4b	A/chicken/Samara/447/2018	NA	NA	N	2018-06-22
EPI1270858|A/duck/Samara/452/2018|H5N8|2018-06-22	West Asia	Domestic Birds	H5N8	Russia	EPI1270858	NA	2.3.4.4b	2.3.4.4b	A/duck/Samara/452/2018	NA	NA	N	2018-06-22
EPI1270866|A/goose/Samara/455/2018|H5N8|2018-06-22	West Asia	Domestic Birds	H5N8	Russia	EPI1270866	NA	2.3.4.4b	2.3.4.4b	A/goose/Samara/455/2018	NA	NA	N	2018-06-22
EPI1270874|A/goose/Samara/459/2018|H5N8|2018-06-22	West Asia	Domestic Birds	H5N8	Russia	EPI1270874	NA	2.3.4.4b	2.3.4.4b	A/goose/Samara/459/2018	NA	NA	N	2018-06-22
EPI1270882|A/chicken/Penza/300/2018|H5N8|2018-06-15	West Asia	Domestic Birds	H5N8	Russia	EPI1270882	NA	2.3.4.4b	2.3.4.4b	A/chicken/Penza/300/2018	NA	NA	N	2018-06-15
EPI1270890|A/chicken/Penza/301/2018|H5N8|2018-06-15	West Asia	Domestic Birds	H5N8	Russia	EPI1270890	NA	2.3.4.4b	2.3.4.4b	A/chicken/Penza/301/2018	NA	NA	N	2018-06-15
EPI1270898|A/chicken/Orel/533/2018|H5N8|2018-06-20	West Asia	Domestic Birds	H5N8	Russia	EPI1270898	NA	2.3.4.4b	2.3.4.4b	A/chicken/Orel/533/2018	NA	NA	N	2018-06-20
EPI1270931|A/chicken/Rostov-on-Don/766/2018|H5N8|2018-07-09	West Asia	Domestic Birds	H5N8	Russia	EPI1270931	NA	2.3.4.4b	2.3.4.4b	A/chicken/Rostov-on-Don/766/2018	NA	NA	N	2018-07-09
EPI1270939|A/turkey/Rostov-on-Don/817/2018|H5N8|2018-07-16	West Asia	Domestic Birds	H5N8	Russia	EPI1270939	NA	2.3.4.4b	2.3.4.4b	A/turkey/Rostov-on-Don/817/2018	NA	NA	N	2018-07-16
EPI1270947|A/chicken/Penza/605/2018|H5N8|2018-06-19	West Asia	Domestic Birds	H5N8	Russia	EPI1270947	NA	2.3.4.4b	2.3.4.4b	A/chicken/Penza/605/2018	NA	NA	N	2018-06-19
EPI1270955|A/chicken/Penza/607/2018|H5N8|2018-06-19	West Asia	Domestic Birds	H5N8	Russia	EPI1270955	NA	2.3.4.4b	2.3.4.4b	A/chicken/Penza/607/2018	NA	NA	N	2018-06-19
EPI1270963|A/chicken/Cheboksary/805/2018|H5N8|2018-07-16	West Asia	Domestic Birds	H5N8	Russia	EPI1270963	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/805/2018	NA	NA	N	2018-07-16
EPI1270971|A/chicken/Cheboksary/806/2018|H5N8|2018-07-16	West Asia	Domestic Birds	H5N8	Russia	EPI1270971	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/806/2018	NA	NA	N	2018-07-16
EPI1270979|A/chicken/Kursk/757/2018|H5N8|2018-06-20	West Asia	Domestic Birds	H5N8	Russia	EPI1270979	NA	2.3.4.4b	2.3.4.4b	A/chicken/Kursk/757/2018	NA	NA	N	2018-06-20
EPI1270987|A/chicken/Kursk/760/2018|H5N8|2018-06-26	West Asia	Domestic Birds	H5N8	Russia	EPI1270987	NA	2.3.4.4b	2.3.4.4b	A/chicken/Kursk/760/2018	NA	NA	N	2018-06-26
EPI1270995|A/chicken/Kursk/762/2018|H5N8|2018-06-26	West Asia	Domestic Birds	H5N8	Russia	EPI1270995	NA	2.3.4.4b	2.3.4.4b	A/chicken/Kursk/762/2018	NA	NA	N	2018-06-26
EPI1271003|A/goose/Samara/673/2018|H5N8|2018-07-04	West Asia	Domestic Birds	H5N8	Russia	EPI1271003	NA	2.3.4.4b	2.3.4.4b	A/goose/Samara/673/2018	NA	NA	N	2018-07-04
EPI1271011|A/goose/Samara/675/2018|H5N8|2018-07-04	West Asia	Domestic Birds	H5N8	Russia	EPI1271011	NA	2.3.4.4b	2.3.4.4b	A/goose/Samara/675/2018	NA	NA	N	2018-07-04
EPI1271019|A/chicken/Samara/679/2018|H5N8|2018-07-04	West Asia	Domestic Birds	H5N8	Russia	EPI1271019	NA	2.3.4.4b	2.3.4.4b	A/chicken/Samara/679/2018	NA	NA	N	2018-07-04
EPI1272529|A/chicken/Cheboksary/849/2018|H5N8|2018-07-20	West Asia	Domestic Birds	H5N8	Russia	EPI1272529	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/849/2018	NA	NA	N	2018-07-20
EPI1272537|A/chicken/Cheboksary/850/2018|H5N8|2018-07-20	West Asia	Domestic Birds	H5N8	Russia	EPI1272537	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/850/2018	NA	NA	N	2018-07-20
EPI1272545|A/chicken/Cheboksary/851/2018|H5N8|2018-07-20	West Asia	Domestic Birds	H5N8	Russia	EPI1272545	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/851/2018	NA	NA	N	2018-07-20
EPI1272553|A/chicken/Cheboksary/853/2018|H5N8|2018-07-31	West Asia	Domestic Birds	H5N8	Russia	EPI1272553	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/853/2018	NA	NA	N	2018-07-31
EPI1272561|A/chicken/Cheboksary/854/2018|H5N8|2018-07-31	West Asia	Domestic Birds	H5N8	Russia	EPI1272561	NA	2.3.4.4b	2.3.4.4b	A/chicken/Cheboksary/854/2018	NA	NA	N	2018-07-31
EPI1272569|A/chicken/Tatarstan/7/2018|H5N8|2018-08-01	West Asia	Domestic Birds	H5N8	Russia	EPI1272569	NA	2.3.4.4b	2.3.4.4b	A/chicken/Tatarstan/7/2018	NA	NA	N	2018-08-01
EPI1272962|A/chicken/Cambodia/a17W9M1/2016|H5N1|2016-03-01	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1272962	NA	2.3.2.1c	2.3.2.1	A/chicken/Cambodia/a17W9M1/2016	NA	NA	N	2016-03-01
EPI1272982|A/chicken/Cambodia/a27W9M1/2016|H5N1|2016-03-02	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1272982	NA	2.3.2.1c	2.3.2.1	A/chicken/Cambodia/a27W9M1/2016	NA	NA	N	2016-03-02
EPI1272990|A/duck/Cambodia/a23W9M1/2016|H5N1|2016-03-02	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1272990	NA	2.3.2.1c	2.3.2.1	A/duck/Cambodia/a23W9M1/2016	NA	NA	N	2016-03-02
EPI1272998|A/duck/Cambodia/a24W9M1/2016|H5N1|2016-03-02	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1272998	NA	2.3.2.1c	2.3.2.1	A/duck/Cambodia/a24W9M1/2016	NA	NA	N	2016-03-02
EPI1273006|A/chicken/Cambodia/Z8W7M1/2015|H5N1|2015-02-09	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273006	NA	2.3.2.1c	2.3.2.1	A/chicken/Cambodia/Z8W7M1/2015	NA	NA	N	2015-02-09
EPI1273014|A/chicken/Cambodia/Z9W7M1/2015|H5N1|2015-02-09	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273014	NA	2.3.2.1c	2.3.2.1	A/chicken/Cambodia/Z9W7M1/2015	NA	NA	N	2015-02-09
EPI1273022|A/duck/Cambodia/Z13W7M3/2015|H5N1|2015-02-10	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273022	NA	2.3.2.1c	2.3.2.1	A/duck/Cambodia/Z13W7M3/2015	NA	NA	N	2015-02-10
EPI1273030|A/duck/Cambodia/Z35W8M3/2015|H5N1|2015-02-17	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273030	NA	2.3.2.1c	2.3.2.1	A/duck/Cambodia/Z35W8M3/2015	NA	NA	N	2015-02-17
EPI1273038|A/chicken/Cambodia/Z37W8M3/2015|H5N1|2015-02-17	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273038	NA	2.3.2.1c	2.3.2.1	A/chicken/Cambodia/Z37W8M3/2015	NA	NA	N	2015-02-17
EPI1273046|A/duck/Cambodia/Z44W9M1/2015|H5N1|2015-02-23	Southeast Asia	Domestic Birds	H5N1	Cambodia	EPI1273046	NA	2.3.2.1c	2.3.2.1	A/duck/Cambodia/Z44W9M1/2015	NA	NA	N	2015-02-23
